Arc Length,Radius of Curvature,Direction
0.9006811922515586,49.95147352766327,right
0.9191817331996951,106.01811379793307,right
0.93430270755688,5164.011291416768,right
0.9458208921720527,108.11423089577477,left
0.9537390267295911,55.34845693638104,left
0.958272333505284,37.14727835195041,left
0.9598473458508702,27.76794016030943,left
0.9591105489676849,21.99469855150617,left
0.9569514202109324,19.262592235756852,left
0.9548934073926894,19.721835536059356,left
0.9540714480480496,20.26477636763324,left
0.9543953368728386,20.88493390504226,left
0.9556873009219832,21.57531968435791,left
0.9577755665655654,22.328326384631044,left
0.9604959021978025,23.135637569774474,left
0.9636927600574113,23.98816204747424,left
0.967220052509191,24.875996220713432,left
0.9709416104933309,25.78841747269877,left
0.9747313774924495,26.71391120403812,left
0.9784848923569152,28.261761168808864,left
0.9824286662741215,30.902744301972085,left
0.9867511516951423,34.018368780552535,left
0.9912253342871845,37.71200133340765,left
0.9956243945883548,42.13011512609292,left
0.9997457040207482,47.48634944481734,left
1.0034099627432196,54.10367670593158,left
1.0064600882718118,62.49276288913342,left
1.008759995247118,73.50873246636719,left
1.010193373616874,88.69611211279037,left
1.0106625447061877,111.15136654281245,left
1.0100874528419892,148.11133675827074,left
1.008404834105873,221.31289803591233,left
1.005567592747642,439.60696735708785,left
1.0015444089354437,279339.83725420816,left
0.9963195979775429,426.92392382554664,right
0.9898932401345613,209.67822928907202,right
0.9822816008677847,136.7250901330857,right
0.9735178630893981,99.91562428268156,right
0.9636531948138212,77.59889299347655,right
0.9527581764859452,62.55861799589794,right
0.9409246106604059,51.704666828816855,right
0.9282677305071704,43.49438482868283,right
0.9149288098172814,37.072718762977516,right
0.9010781515434104,31.928177428009576,right
0.8869183890015915,27.736430903523175,right
0.8726879669358456,24.28212495185846,right
0.8586645718218414,21.41682120714088,right
0.8451681470252186,19.035027113618412,right
0.8325629600805361,17.059902683575338,right
0.8212580012559023,15.434441539090964,right
0.8117264581052073,16.26685411587111,right
0.804580284401749,20.712152345294864,right
0.7993058802095364,29.08810449412255,right
0.7948631095467436,49.93668140366136,right
0.7904947505432481,189.07629063617006,right
0.7857600582170199,101.15094446555875,left
0.7805436897604692,39.072669555602005,left
0.7750652547646444,23.88559563941536,left
0.7698912456282403,17.07604723680422,left
0.7659460036338142,13.293167701794992,left
0.7645123961449951,10.990825897040528,left
0.7672067656960263,9.567847137784078,left
0.7758158587862364,10.256823027342097,left
0.7897349385062404,13.038837469843179,left
0.8057966542429149,17.341939373604298,left
0.8219738309088006,24.595063841073785,left
0.8367924834591403,39.2668704443295,left
0.849228453882625,85.71225999253778,left
0.8586489683356159,815.7605910456772,left
0.8647661785202594,73.06448421212308,right
0.8676085263480726,38.25450012134504,right
0.8675106189721623,25.686325976963232,right
0.8651196264767669,19.13144516501635,right
0.8614139443170742,15.114621095001151,right
0.8577264977919247,12.454234801751037,right
0.8560044569719263,13.954132191837815,right
0.8580519293871597,16.26900104763419,right
0.8630948042347166,19.591491505972627,right
0.8700018939918736,24.514159288630076,right
0.8778213737137683,32.32572144484485,right
0.8857896786257273,46.4100519671727,right
0.893328604628754,79.29323828303112,right
0.9000367972907467,246.56397037512033,right
0.9056799911174817,237.1083326894256,left
0.910182627614495,81.24851891690176,left
0.9136221074606908,49.26396300659519,left
0.9162258982703443,35.41070642797997,left
0.9183708901814351,27.677123821326443,left
0.9205836266821988,22.777689465697986,left
0.9235392548606868,19.454312344664157,left
0.928056264701014,17.12746399926343,left
0.9350835116288863,15.498447241818049,left
0.9456760228185526,14.40312789468269,left
0.960929441541603,14.942202682026368,left
0.9800675615237646,18.551878707852246,left
0.9996715668367055,23.638891599966357,left
1.0179591768470104,31.19712054141363,left
1.0337022374157017,43.59797609212541,left
1.0459944457420056,68.16290547010412,left
1.0542029315782053,143.713676097593,left
1.0579306540578184,2004.013495506978,left
1.0569916022681842,125.0254713474712,right
1.0513991491701837,63.131731549195095,right
1.0413675362051085,41.101421559174966,right
1.027326612219793,29.6047982806151,right
1.0099500618771473,22.483572139403222,right
0.9901968507219572,17.652353750722554,right
0.9693636399012289,14.21460002352719,right
0.9491412326173977,11.724033998281406,right
0.9316593241067882,9.935855140787783,right
0.9195142969297231,9.597911393925978,right
0.915355690199511,10.859193590319396,right
0.9183272439042653,12.739958018266032,right
0.9258416487896433,15.456819452531704,right
0.9355904718711892,19.43097007198247,right
0.9456605699793106,25.565997501599394,right
0.9545434767167277,36.16096593141852,right
0.9611105830573935,59.1585271890536,right
0.964577376052142,151.93172538956782,right
0.9644710963615769,274.34087472423,right
0.9606094587413407,70.73961596345356,left
0.9530940837503569,39.592649101594645,left
0.9423201569745795,26.77148776135004,left
0.9290023812927228,19.72431347451214,left
0.9142152368171228,15.290152172300981,left
0.8994414399488926,12.308826098961832,left
0.8866148321186719,10.396655851504544,left
0.8782983712803345,11.125466508053938,left
0.8760159744713655,12.234567995042408,left
0.8786687562051041,13.78344755808819,left
0.8848953936340952,15.870088547749493,left
0.8934449384439007,18.654813546793076,left
0.9032146124059138,22.408933485203473,left
0.9132651578995452,27.621255321283382,left
0.9228206529946256,35.258813773056495,left
0.9312594857469451,47.52094827953254,left
0.9381016667067151,70.67220576896692,left
0.9429959471207208,132.31576675543252,left
0.9457088184270149,883.9972433153989,left
0.9461165165036609,189.74241323275317,right
0.9442005765513805,84.8293204863403,right
0.9400471604906295,53.87606304486257,right
0.9338501861504758,38.8841208464968,right
0.9259350805688407,32.68922141620915,right
